term,estimate,std.error,statistic,p.value,outcome,lag
reciprocity,5.381811200379905,1.8226837769639208,2.952685083610329,0.0031878101389678313,Up-vote,14
ri,3.1485421896810872,0.9724254642804243,3.2378236742401088,0.00122463303102775,Up-vote,14
reciprocity,-2.7062052719244893,1.1162201179205324,-2.424436926442454,0.015422325047719959,Down-vote,14
ri,-1.0921602693332568,0.3130501165561434,-3.488771323097033,4.959927617105141e-4,Down-vote,14
reciprocity,-1.0181137970965808,0.45675943635150335,-2.2289934614795395,0.0259276595073977,Reply,14
ri,0.5386438383759413,0.3619069274053255,1.4883490687446155,0.13682022212663156,Reply,14
