term,estimate,std.error,statistic,p.value,outcome,lag
identified,0.22528021357679145,0.08888287309414261,2.534573936850354,0.011300056424272094,Up-vote,28
scale(production),-0.12596640870299708,0.06581275518988916,-1.9140120838209391,0.05569709808518047,Up-vote,28
scale(reputation),0.2521675555655006,0.03848647827157278,6.552107828264421,6.471296586552047e-11,Up-vote,28
identified:scale(production),0.11317230731513121,0.05242102460994419,2.158910630939148,0.030922375540484142,Up-vote,28
identified:scale(reputation),0.12066032778255766,0.04754149247814362,2.5380004180144144,0.011190217506484208,Up-vote,28
identified,0.06321369877250814,0.028995893363260753,2.1800914350375926,0.029314662450266586,Down-vote,28
scale(production),0.04754292638965397,0.03967413435832977,1.1983355694734172,0.23086456990853843,Down-vote,28
scale(reputation),-0.12742837834467577,0.08224479957760637,-1.5493791583069525,0.12137770250168614,Down-vote,28
identified:scale(production),0.06447484779682462,0.03476778819520621,1.8544420322289705,0.0637569247489762,Down-vote,28
identified:scale(reputation),-0.21164010649476858,0.07315283716608398,-2.893122327084421,0.0038370164327491386,Down-vote,28
identified,0.06490025706696102,0.013702110281370337,4.736515451579798,2.2573697649612238e-6,Reply,28
scale(production),-0.0031669194139215015,0.018536767583091637,-0.17084528894941833,0.8643549310250558,Reply,28
scale(reputation),-0.030186451853865672,0.014350417854648086,-2.103524242960515,0.03548854886569837,Reply,28
identified:scale(production),0.0032140144368387165,0.01195452879700897,0.26885329329273644,0.7880578465768715,Reply,28
identified:scale(reputation),0.019394541568134086,0.009605718063425084,2.0190621294602757,0.04355407445500972,Reply,28
