term,estimate,std.error,statistic,p.value,outcome,lag
reciprocity,6.076694688580343,2.067064771361248,2.9397698479368826,0.003323119524999068,Up-vote,28
ri,3.4873826074437355,1.0080428109762947,3.4595580360978793,5.526728109173496e-4,Up-vote,28
reciprocity,-3.5618377882485746,1.387354142455289,-2.5673601852984436,0.010321418317045448,Down-vote,28
ri,-0.9759913984694534,0.32931197533943424,-2.963728839388432,0.003076114186124794,Down-vote,28
reciprocity,-1.133827439537253,0.5057400582191501,-2.2419174062062064,0.025078516583542224,Reply,28
ri,0.6460302588675951,0.390226158054847,1.6555278151722326,0.09797805603865092,Reply,28
