term,estimate,std.error,statistic,p.value,outcome,lag
reciprocity,3.024324770560027,1.3180559373599188,2.2945344615781513,0.021865408201974603,Up-vote,3
ri,2.494069079913191,0.9245639051905858,2.6975626735061367,0.007044958709519862,Up-vote,3
reciprocity,-0.9301654751046212,0.5686563392354761,-1.6357251487870024,0.10205817800646741,Down-vote,3
ri,-1.1842911251117534,0.3679033849630627,-3.2190275314554544,0.0013073519929172961,Down-vote,3
reciprocity,-0.5058785797491778,0.42387090474855277,-1.193473234614377,0.23282896860494842,Reply,3
ri,0.302504192578795,0.36152843263477324,0.8367369348357553,0.40284276994408696,Reply,3
